Order Date,Segment,Market,Sales,Profit
2012-07-31,Consumer,US,2309.65,762.1844999999998
2013-02-05,Corporate,APAC,3709.395,-288.765
2013-10-17,Consumer,APAC,5175.171000000001,919.9709999999995
2013-01-28,Home Office,EU,2892.51,-96.54000000000003
2013-11-05,Consumer,Africa,2832.96,311.52
2013-06-28,Corporate,APAC,2862.675,763.2750000000001
2011-11-07,Consumer,APAC,1822.08,564.84
2012-04-14,Consumer,APAC,5244.84,996.48
2014-10-14,Corporate,US,5083.96,1906.485
2012-01-28,Consumer,US,4297.644,-1862.3124000000005
2011-04-05,Corporate,US,4164.049999999999,83.28100000000006
2012-04-19,Corporate,APAC,4626.15,647.55
2011-12-27,Consumer,EMEA,2616.96,1151.4
2012-11-13,Home Office,LATAM,2221.8,622.02
2013-06-06,Consumer,APAC,3701.52,1036.08
2014-07-31,Corporate,EU,1869.588,186.94800000000004
2014-11-03,Corporate,US,2249.91,517.4793000000001
2014-09-08,Corporate,EU,7958.58,3979.08
2014-01-31,Corporate,APAC,2565.594,28.40399999999994
2014-12-05,Consumer,Africa,3409.74,818.28
2012-08-08,Corporate,EMEA,1977.72,276.84000000000003
2011-10-29,Consumer,US,2735.952,341.9939999999997
2011-05-02,Corporate,APAC,2753.999999999999,358.02
2013-02-27,Home Office,EU,5273.7,1898.4
2014-07-31,Consumer,LATAM,1713.84,445.52
2014-09-05,Consumer,LATAM,2106.496,526.4960000000001
2011-12-17,Corporate,APAC,1715.16,720.36
2011-03-14,Consumer,EU,3069.7380000000003,1364.2379999999996
2013-03-11,Home Office,US,4158.912,363.90480000000025
2012-02-25,Consumer,APAC,1878.72,582.36
2011-12-28,Corporate,LATAM,1696.64,-148.46000000000004
2012-07-17,Corporate,EU,2402.865,763.155
2012-10-15,Consumer,US,2453.43,-350.4899999999999
2011-11-03,Corporate,APAC,2526.93,561.48
2011-12-12,Consumer,US,3610.848,135.4068000000002
2011-09-14,Corporate,Africa,3817.26,1068.66
2011-09-14,Consumer,US,2799.96,1371.9804
2014-11-05,Corporate,US,7999.98,-3839.990399999999
2014-01-14,Consumer,EU,4141.02,1697.67
2011-01-10,Consumer,APAC,2875.0950000000007,511.0949999999999
2013-08-22,Consumer,APAC,3200.5962,-77.20379999999989
2014-11-11,Home Office,APAC,4518.78,632.52
2014-09-26,Corporate,APAC,5667.87,2097.03
2012-12-13,Consumer,EU,5785.02,404.73
2011-09-23,Consumer,EU,3018.624,377.2439999999999
2011-09-23,Consumer,US,9449.95,4630.4755000000005
2013-03-08,Corporate,EU,2092.4999999999995,720.7499999999999
2014-08-28,Consumer,APAC,2761.2,110.34
2014-05-01,Consumer,APAC,2174.13,500.00999999999993
2014-12-18,Consumer,LATAM,3473.1399999999994,868.1200000000001
2012-06-16,Consumer,US,3050.376,1143.891
2014-09-18,Consumer,EMEA,2108.64,527.04
2014-07-25,Corporate,US,2399.96,839.9860000000001
2011-12-17,Corporate,APAC,2197.5,153.75
2013-12-18,Corporate,Africa,2582.16,593.88
2012-05-30,Consumer,APAC,1526.52,732.72
2012-03-19,Corporate,US,3149.9300000000003,1480.4670999999998
2012-05-25,Corporate,APAC,1745.34,226.86
2014-08-05,Consumer,APAC,4191.507,1164.2669999999998
2014-08-24,Consumer,US,4367.896000000001,327.59220000000005
2014-03-11,Consumer,APAC,3063.27,581.91
2012-11-08,Corporate,US,4643.8,2229.024
2014-08-11,Corporate,EU,4473.000000000001,313.11
2013-08-31,Corporate,EU,1502.0100000000002,225.18
2014-01-18,Consumer,APAC,5048.999999999999,656.37
2013-12-02,Corporate,US,2104.55,694.5014999999999
2014-12-07,Consumer,EU,2188.05,1050.15
2014-12-16,Corporate,APAC,1920.36,652.92
2014-11-20,Home Office,LATAM,1704.0000000000005,119.28
2011-11-09,Home Office,EMEA,1858.6800000000003,130.07999999999998
2013-06-07,Corporate,APAC,3298.26,1055.25
2011-11-22,Consumer,LATAM,2443.48,121.94
2013-03-29,Consumer,Africa,3808.8,1523.52
2014-08-26,Corporate,APAC,3427.1496,-452.8103999999999
2012-09-20,Consumer,EU,3441.69,38.06999999999999
2014-05-16,Consumer,APAC,2863.35,858.9
2012-03-16,Consumer,US,6354.95,3177.475
2013-11-24,Consumer,EU,1487.4,728.7
2011-11-09,Home Office,APAC,3200.04,1183.95
2011-10-28,Consumer,APAC,2300.9999999999995,91.95
2014-11-19,Consumer,EU,5729.345999999999,63.54600000000016
2014-10-28,Corporate,Africa,5301.240000000001,2597.28
2014-01-17,Consumer,US,5443.96,2504.2216
2014-08-18,Consumer,US,4416.174,-630.8820000000001
2013-01-29,Consumer,EU,3219.9,965.85
2012-09-18,Consumer,APAC,2487.8088,-269.7912
2013-11-23,Home Office,Africa,2266.44,113.28
2012-06-13,Corporate,APAC,3068.361000000001,1124.9009999999998
2013-10-28,Consumer,APAC,3728.43,1192.86
2013-12-12,Consumer,APAC,1581.48,0.0
2012-05-25,Corporate,APAC,1916.73,498.3299999999999
2013-05-06,Corporate,US,1685.88,320.3172
2013-12-02,Home Office,EU,2432.16,513.36
2014-12-23,Corporate,Canada,3863.88,1159.02
2013-01-28,Corporate,APAC,2465.82,197.19000000000003
2012-05-07,Corporate,APAC,1847.52,738.96
2013-11-27,Consumer,EU,2899.8899999999994,927.78
2012-11-28,Home Office,APAC,2891.7,96.39000000000004
2012-09-29,Consumer,EU,2016.846,-0.0540000000000304
2013-09-03,Home Office,EU,3155.544,34.94400000000002
2013-07-26,Consumer,Africa,3856.14,1465.2
2014-11-19,Corporate,APAC,3524.472,861.372
2012-06-19,Consumer,EU,2167.2960000000003,790.4159999999999
2012-10-11,Corporate,LATAM,2556.000000000001,178.92
2011-08-09,Consumer,EU,1469.2499999999998,308.4
2011-11-05,Consumer,EU,4448.832,1517.7120000000002
2014-11-07,Home Office,US,2036.86,366.6347999999999
2013-04-26,Home Office,LATAM,2472.6600000000003,914.76
2013-12-26,Consumer,APAC,3739.176,747.816
2013-03-13,Home Office,EU,2570.865,-2211.165
2013-04-17,Corporate,US,9099.93,2365.9818
2012-04-05,Corporate,EU,2875.7700000000004,-1783.0800000000004
2012-12-26,Consumer,EU,1741.8000000000002,261.24
2013-04-18,Consumer,APAC,1601.64,587.1899999999999
2011-05-24,Consumer,APAC,3670.8,367.08
2012-05-22,Consumer,US,2973.32,334.4984999999996
2013-05-16,Consumer,EU,1900.95,589.2
2011-12-06,Corporate,US,1261.33,327.9458
2011-02-16,Corporate,EU,4544.099999999999,1868.13
2013-05-31,Consumer,APAC,1455.12,116.4
2013-10-01,Consumer,APAC,1943.19,258.93
2011-12-14,Consumer,US,6999.96,2239.9872
2013-12-18,Consumer,US,9892.74,4946.37
2013-12-11,Corporate,APAC,1695.87,-37.83000000000001
2014-03-18,Corporate,EU,1505.9789999999998,-265.761
2014-12-19,Consumer,APAC,1954.17,312.66
2011-12-20,Home Office,US,2244.48,493.78559999999993
2013-05-24,Consumer,US,8399.975999999999,1119.996799999999
2011-10-14,Consumer,US,1628.82,260.61120000000017
2014-09-18,Consumer,LATAM,1213.18876,508.00876000000005
2013-11-25,Corporate,APAC,1590.6,572.5500000000001
2013-11-07,Consumer,APAC,2330.6400000000003,1025.46
2014-07-19,Home Office,APAC,3278.5848,140.82479999999995
2012-08-16,Home Office,APAC,3741.5238,946.6337999999996
2013-08-27,Corporate,US,1603.1360000000002,100.19599999999996
2012-01-11,Consumer,APAC,3637.602,156.40199999999993
2013-01-28,Home Office,LATAM,2455.88,785.8199999999999
